Latin Name,Common Name,Habit,Height,Hardiness,Soil,Shade,Moisture,Edible,Medicinal,Other
Primula parryi,Parry's primrose,Perennial,0.3,4-8,,LMH,FS,M,0,0,
Primula veris,"Cowslip, Cowslip primrose",Perennial,0.3,4-8,,LMH,SN,M,3,3,
Primula vulgaris,"Primrose, Common Primrose, English Primrose",Perennial,0.3,5-10,M,LMH,SN,M,3,3,3
Prinsepia sinensis,Cherry prinsepia,Shrub,1.8,4-8,M,LMH,SN,M,2,0,
Proboscidea fragrans,"Sweet Unicorn Plant, Ram's horn",Annual,0.6,9-11,,LMH,N,M,2,0,
Proboscidea louisianica,"Unicorn Plant,  Ram's horn",Annual,1.0,9-11,,LMH,N,M,2,0,0
Prosopis africana,Pau Carvão. Mesquite. Iron tree,Tree,10.0,10-12,S,LMH,N,M,2,2,3
Prosopis alba,"White carob tree, Algarrobo blanco",Tree,10.0,10-12,M,LMH,N,DM,3,2,3
Prumnopitys andina,Plum-Fruited Yew,Tree,15.0,7-10,S,LMH,SN,M,3,0,
Prunella grandiflora,,Perennial,0.2,4-8,,LMH,SN,M,2,0,
Prunus africana,Pygeum,Tree,18.0,10-12,F,LM,N,M,0,5,2
Prunus americana lanata,,Tree,10.0,3-7,,LMH,SN,M,3,1,2
Prunus angustifolia,"Chickasaw Plum, Watson's plum, Hally Jolivette Cherry",Tree,3.0,5-9,M,LMH,SN,M,3,1,3
Prunus angustifolia watsonii,Sand Plum,Shrub,3.0,5-9,,LMH,SN,M,4,1,2
Prunus apetala,Clove Cherry,Shrub,7.0,-,,LMH,SN,M,2,1,
Prunus arabica,,Shrub,0.0,-,,LMH,SN,DM,2,1,
Prunus besseyi,Western Sand Cherry,Shrub,1.2,3-6,M,LMH,SN,M,4,1,2
Prunus bifrons,,Shrub,1.8,-,,LMH,SN,M,2,1,
Prunus cerasifera,"Cherry Plum, Myrobalan Plum, Newport Cherry Plum, Pissard Plum",Tree,9.0,5-8,M,LMH,SN,M,4,1,3
Prunus cerasifera divaricata,,Tree,10.0,4-8,,LMH,SN,M,4,1,
Prunus cerasoides,Wild Himalayan Cherry,Tree,30.0,7-10,,LMH,SN,M,2,2,
Prunus cocomilia,,Shrub,5.0,5-9,,LMH,SN,M,2,1,
Prunus domestica,"Plum, European plum",Tree,12.0,4-9,M,LMH,SN,M,5,2,3
Prunus jamasakura,Yamazakura,Tree,18.0,4-8,,LMH,SN,M,2,1,
Prunus lyonii,"Catalina Island Cherry, Hollyleaf cherry",Tree,10.0,7-10,,LMH,N,DM,2,1,
Prunus nigra,Canadian Plum,Tree,9.0,0-0,,LMH,SN,M,4,1,2
Prunus pensylvanica,Pin Cherry,Tree,12.0,-,F,LMH,N,M,2,2,
Prunus pseudocerasus,Cambridge Cherry,Shrub,3.5,5-9,,LMH,SN,M,4,1,1
Prunus rivularis,Creek Plum,Shrub,2.5,7-10,,LMH,N,M,2,1,
Prunus salicifolia,"Capulin Cherry, Mexican Bird Cherry",Tree,25.0,3-10,F,LMH,N,M,3,1,
Prunus spinosa,Sloe - Blackthorn,Shrub,3.0,4-8,M,LMH,SN,M,3,2,4
Prunus subcordata,"Pacific Plum, Klamath plum, Kellogg's Klamath plum, Oregon Klamath plum",Tree,7.5,6-9,,LMH,N,M,3,1,
Prunus undulata,,Shrub,12.0,5-9,,LMH,SN,M,2,1,
Prunus ursina,,Shrub,0.0,-,,LMH,SN,M,2,1,
Prunus virens,Wild Cherry,Tree,8.0,-,,LMH,SN,M,2,1,
Prunus virginiana,"Chokecherry, Western chokecherry, Black chokecherry",Shrub,3.6,0-0,F,LMH,SN,M,3,2,4
Prunus virginiana demissa,Western Chokecherry,Shrub,3.6,0-0,,LMH,S,M,3,2,4
Prunus virginiana melanocarpa,Rocky Mountain Chokecherry,Shrub,3.6,0-0,,LMH,N,M,3,2,4
Prunus x cistena,Purple-Leaf Sand Cherry,Shrub,2.0,4-8,S,LMH,SN,M,2,1,
Pseudopanax edgerleyi,,Shrub,0.0,-,,LMH,SN,M,0,0,
Psidium cattleianum,Strawberry Guava,Shrub,6.0,9-12,,LM,N,DM,3,3,3
Psidium cattleianum littorale,Yellow Strawberry Guava,Shrub,6.0,9-11,,LM,N,DM,3,0,3
Psoralea argophylla,"Silverleaf Scurf Pea, Silverleaf Indian breadroot",Perennial,0.6,0-0,,LMH,N,DM,2,1,
Psoralea hypogaea,Small Indian Breadroot,Perennial,0.1,4-8,,LM,N,DM,4,0,
Psoralea pedunculata,Sampson's Snakeroot,Perennial,1.0,-,,LMH,N,DM,0,1,
Psoralea subacaulis,Whiterim scurfpea,Perennial,0.2,0-0,,LMH,N,DM,2,0,
Pterocarya fraxinifolia,Caucasian Wingnut,Tree,30.0,6-9,,MH,N,M,1,1,
Pulsatilla pratensis,Pasque Flower,Perennial,0.5,4-8,,LM,N,DM,0,2,
Punica granatum,"Pomegranate,  Dwarf Pomegranate",Tree,5.0,8-12,M,LMH,N,DM,4,4,3
Puya chilensis,,Perennial,2.0,8-11,,LMH,N,D,1,0,
Pyracantha crenato-serrata,,Shrub,5.0,6-9,,LMH,SN,M,1,1,
Pyracantha rogersiana,,Shrub,3.0,7-10,,LMH,FSN,M,0,0,
Pyrocydonia danielii,,Tree,5.0,5-9,,LMH,SN,M,2,0,
Pyrus amygdaliformis,,Tree,10.0,5-9,,LMH,SN,M,2,0,
Pyrus calleryana dimorphophylla,,Tree,0.0,-,,LMH,SN,M,2,0,
Pyrus communis sativa,Pear,Tree,5.0,4-8,,LMH,SN,M,5,0,3
Pyrus cordata,"Plymouth Pear, Pear",Tree,0.0,8-10,M,LMH,SN,M,2,0,
Pyrus faurei,,Tree,0.0,8-11,,LMH,SN,M,3,0,
Pyrus pyrifolia,"Sand Pear, Chinese pear",Tree,10.0,5-9,,LMH,SN,M,4,1,0
Pyrus regellii,,Tree,9.0,5-9,,LMH,SN,DM,2,0,
Pyrus ussuriensis ovoidea,,Tree,15.0,4-8,,LMH,SN,M,3,0,0
Quercus palustris,"Pin Oak, Swamp Oak",Tree,25.0,4-8,F,MH,SN,M,3,2,
Quercus robur,"Pedunculate Oak, English oak",Tree,30.0,4-8,S,MH,SN,MWe,4,3,5
Quercus stellata,Post Oak,Tree,20.0,4-8,S,MH,SN,M,3,2,
Ranunculus pennsylvanicus,Pennsylvania Buttercup,Annual/Perennial,1.0,-,,LMH,SN,MWe,1,1,
Raphanus sativus caudatus,Rat-Tail Radish,Annual,0.0,7-10,,LMH,SN,M,3,3,
Ratibida columnifera,"Prairie Coneflower, Upright prairie coneflower, Woolly Cinquefoil, Praire Coneflower, Mexican Hat",Perennial,0.8,4-9,F,LMH,N,DM,1,1,
Rhus radicans,Poison Ivy,Climber,2.5,4-8,F,LMH,N,M,0,1,
Rhus vernix,Poison Sumach,Shrub,3.0,3-7,,LMH,N,MWe,0,1,
Ribes lacustre,"Prickly Blackcurrant, Prickly currant",Shrub,1.5,4-8,,LMH,SN,M,3,1,2
Rosa acicularis,Prickly Rose,Shrub,2.5,0-0,,LMH,SN,M,2,2,0
Rosa arkansana suffulta,Prairie Rose,Shrub,0.0,4-8,,LMH,SN,M,2,1,
Rosa carolina,"Pasture Rose, Carolina rose",Shrub,1.5,4-8,,LMH,SN,DM,2,1,
Rosa centifolia,"Provence Rose, Cabbage rose",Shrub,1.5,5-9,,LMH,SN,M,2,2,
Rosa setigera,"Prairie rose, Climbing Wild Rose",Shrub,2.5,4-7,F,LMH,N,DM,3,2,3
Rubus laudatus,Plains blackberry,Shrub,5.0,4-8,,LMH,SN,M,2,0,
Rubus pensilvanicus,Pennsylvania blackberry,Shrub,3.0,-,,LMH,SN,M,2,0,
Rubus philadelphicus,Philadelphia blackberry,Shrub,0.0,-,,LMH,SN,M,2,0,
Rubus sieboldii,Palmleaf dewberry,Shrub,0.0,0-0,,LMH,SN,M,2,0,0
Rubus ursinus,"Pacific Dewberry, California blackberry",Shrub,0.0,6-9,,LMH,SN,M,3,2,1
Sabatia campestris,"Prairie Rose Gentian, Texas star",Annual/Biennial,0.2,0-0,,LMH,SN,M,1,1,
Salix amygdaloides,Peach Leaved Willow,Tree,20.0,4-8,F,LMH,N,MWe,0,2,3
Salix bonplandiana,"Sauce, Bonpland willow",Tree,10.0,9-11,F,LMH,N,MWe,0,0,4
Salix lucida lasiandra,Pacific Willow,Tree,15.0,-,F,LMH,N,MWe,1,2,
Salix purpurea,Purple Osier. purpleosier willow,Tree,5.0,4-8,F,LMH,N,DMWe,1,3,4
Salix purpurea lambertiana,Purple Osier,Tree,5.0,4-8,F,LMH,N,MWe,1,3,4
Salsola tragus,Prickly Russian Thistle,Annual,0.5,0-0,,LM,N,DM,2,1,0
Salvia carnosa,Purple Sage,Shrub,0.8,6-9,,LM,N,DM,1,2,
Salvia elegans,"Pineapple Sage, Pineapple-scented Sage,",Perennial,1.0,8-11,M,LM,N,DM,3,1,2
Sanguisorba annua,Prairie Burnet,Annual/Biennial,0.6,-,,LMH,SN,M,1,1,
Sanguisorba minor,"Salad Burnet, Small burnet",Perennial,0.6,4-8,,LMH,N,M,4,2,3
Sanguisorba tenuifolia,,Perennial,1.2,4-8,,LMH,SN,MWe,1,0,
Santalum austrocaledonicum,Pacific Sandalwood,Tree,10.0,10-12,S,LM,N,DM,0,1,4
Sarcocornia pacifica,Pacific swampfire,Perennial,0.6,-,,LMH,N,M,1,0,
Sarracenia purpurea,"Pitcher Plant, Purple Pitcherplant, Huntsman's Cup,  Purple Pitcher Plant, Sweet Pitcher Plant,  Com",Perennial,0.3,4-9,M,LMH,SN,We,0,2,0
Scabiosa columbaria,"Pigeon's Scabious, Dove pincushions, Pincushion Flower",Perennial,0.8,5-9,M,LMH,N,DM,1,0,
Scirpus microcarpus,Panicled Bulrush,Perennial,1.5,-,,LMH,SN,MWeWa,3,1,
Scorpiurus muricatus,Prickly scorpion's-tail,Annual,0.5,0-0,,LMH,SN,DM,1,0,
Secale hybrids,Perennial cereal rye,Perennial,1.8,3-9,F,LMH,N,M,5,1,4
Sedum divergens,Pacific Stonecrop,Perennial,0.2,5-9,,LMH,N,DM,1,1,
Sedum spurium,Caucasian Stonecrop,Perennial,0.2,6-9,,LMH,N,DM,1,0,
Silaum silaus,Pepper Saxifrage,Perennial,1.0,-,,LMH,N,M,1,0,
Silphium integrifolium,Prairie Rosinweed,Perennial,1.8,4-8,F,LMH,N,DM,3,1,2
Silphium terebinthinaceum,"Prairie Dockm, Prairie rosinweed, Lucy Braun's rosinweed",Perennial,1.5,4-8,,LMH,SN,M,0,2,
Simarouba amara,"Paradise tree, bitterwood",Tree,25.0,10-12,F,LMH,SN,MWe,3,4,3
Simarouba glauca,"Paradise Tree, Bitterwood, Dysentery-bark",Tree,15.0,9-12,F,LMH,SN,MWe,3,4,2
Solanum muricatum,Pepino,Shrub,1.0,8-11,,LMH,N,M,4,0,0
Solanum phureja,"Phureja, Nightshade",Perennial,0.0,8-11,,LMH,SN,M,3,0,
Solanum stenotomum,Pitiquiña,Perennial,0.0,-,,LMH,SN,M,3,0,
Solanum torvum,"Pea Eggplant, Turkey berry",Shrub,2.5,8-11,F,LMH,SN,M,3,3,2
Solanum tuberosum,"Potato, Irish potato",Perennial,1.0,7-10,,LMH,N,M,5,2,
Solidago fistulosa,Pine barren goldenrod,Perennial,1.8,0-0,,LMH,SN,M,0,1,
Solidago missouriensis,"Prairie Goldenrod, Missouri goldenrod, Tolmie's goldenrod",Perennial,1.2,6-9,,LMH,SN,DM,2,1,1
Sonchus asper,"Prickly Sow Thistle, Spiny sowthistle",Annual,0.5,0-0,,LMH,SN,M,2,1,0
Sorbus japonica,,Tree,20.0,5-9,,LMH,SN,M,1,0,
Sorbus lanata,,Tree,10.0,4-8,M,LMH,SN,M,3,0,
Sorbus pohuashanensis,,Tree,10.0,4-8,F,LMH,SN,M,1,0,
Sorbus thibetica,Tibetan whitebeam,Tree,20.0,5-9,,LMH,SN,M,3,0,0
Sorghum hybrids,Perennial Sorghum,Perennial,3.0,7-12,F,LMH,N,DM,4,1,3
Spartina pectinata,Prairie Cord Grass,Perennial,1.8,4-8,,LMH,SN,MWe,0,0,
Spondias purpurea,"Purple Mombin Red Mombin, Spanish Plum, Ciruela",Tree,10.0,10-12,F,MH,N,DM,4,2,2
Sporobolus fimbriatus,Perennial Dropseed. Dropseed grass,Perennial,1.2,10-12,F,LMH,SN,DMWe,2,0,2
Stanleya elata,Panamint princesplume,Perennial,1.5,6-9,,LM,N,DM,2,0,
Stanleya pinnata,"Prince's Plume, Desert princesplume, Bipinnate princesplume, Golden princesplume, Inyo princesplume",Perennial,1.0,6-9,,LM,N,DM,2,2,
Styphelia triflora,Pink Fivecorner,Shrub,1.0,8-11,,LM,SN,M,2,0,
Suaeda depressa,Pursh seepweed,Annual/Perennial,0.5,-,,LM,N,M,1,0,
Symphytum asperum,Prickly Comfrey,Perennial,1.5,4-8,F,LMH,SN,M,3,2,0
Tabernaemontana hystrix,Tabernaemontana,Tree,5.0,10-12,F,LMH,N,M,0,0,4
Tacca leontopetaloides,"Polynesian Arrowroot, Pia",Perennial,1.0,8-12,F,LMH,SN,M,4,2,3
Talisia esculenta,Pitomba,Tree,10.0,10-12,F,LMH,N,M,4,2,2
Tanacetum coccineum,"Pyrethrum, Pyrethum daisy, Persian Insect Flower,  Painted Daisy",Perennial,0.6,4-10,M,LMH,SN,M,0,0,
Taxus brevifolia,Pacific Yew,Tree,15.0,5-9,S,LMH,FSN,DM,3,4,3
Thlaspi arvense,"Pennycress, Field pennycress",Annual,0.6,5-9,,LMH,N,M,2,2,0
Thlaspi perfoliatum,Pennycress,Annual,0.3,5-9,,LMH,N,M,2,0,
Trifolium bifidum,"Piñole Clover, Notchleaf clover",Annual,0.5,0-0,,LMH,N,M,2,0,3
Trifolium gracilentum,"Pin-Point Clover, Palmer's clover",Annual,0.6,0-0,,LMH,N,M,2,0,2
Trillium undulatum,Painted Trillium,Perennial,0.2,4-8,,LMH,FSN,M,1,1,
Triodia irritans,Porcupine Grass,Perennial,0.3,-,,LMH,SN,M,0,0,
Triticum turgidum carthlicum,Persian Wheat,Annual,0.0,-,,LMH,N,M,2,0,
Triticum turgidum polonicum,Polish Wheat,Annual,1.3,-,,LMH,N,M,3,0,
Umbilicus rupestris,Pennywort,Perennial,0.3,6-9,,LM,SN,M,3,1,
Vaccinium ashei,Rabbiteye Blueberry,Shrub,5.0,7-10,,LM,SN,M,2,0,
Vicia benghalensis,Purple Vetch,Annual/Perennial,0.6,-,F,LMH,SN,M,0,0,
Viola palmata,"Palmate Violet, Early blue violet,",Perennial,0.1,4-8,,LMH,SN,M,3,1,
Viola x wittrockiana,"Pansy, Heart's Ease, Ladies Delight, Stepmother's Flower, Pansy",Perennial,0.2,0-0,M,LMH,SN,M,2,0,
Vitis aestivalis var. linsecomii,Post-Oak Grape,Climber,5.0,-,,LMH,SN,DM,2,0,
Warburgia salutaris,Pepperbark Tree,Tree,8.0,10-12,S,LM,N,M,2,4,3
Youngia chelidoniifolia,,Annual/Biennial,0.4,-,,LMH,SN,M,1,0,
Zanthoxylum americanum,"Prickly Ash - Northern, Common pricklyash, Northern Prickly Ash",Shrub,4.0,3-7,M,LMH,SN,M,2,3,2
Zea hybrids,"Perennial corn, Perennial Maize",Perennial,2.0,8-12,F,LMH,N,M,5,3,3
Acacia podalyriifolia,"Queensland Silver Wattle, Pearl wattle",Tree,3.0,7-10,,LM,N,DM,1,0,3
Agathis robusta,Queensland Kauri,Tree,45.0,8-11,,LMH,SN,M,0,0,
Artemisia annua,"Qing Hao, Sweet sagewort",Annual,3.0,6-9,F,LM,SN,DM,1,4,2
Aspidosperma quebracho-blanco,Quebracho,Tree,0.0,-,,LMH,SN,M,0,2,
Astragalus henryi,Qin Ling Huang Qi,Perennial,0.8,-,,LM,N,DM,1,0,
Atriplex lentiformis,"Quail Bush, Big saltbush, Quailbush,",Shrub,3.0,7-10,,LM,N,DM,3,1,2
Chenopodium auricomum,Queensland Bluebush,Annual,1.8,-,,LMH,N,M,2,0,
Crataegus champlainensis,Quebec hawthorn,Tree,6.0,5-9,,LMH,SN,MWe,4,2,
Crataegus submollis,Quebec Hawthorn,Tree,7.0,4-8,,LMH,SN,MWe,4,2,
Filipendula rubra,"Queen Of The Prairie, Meadowsweet",Perennial,2.5,3-9,M,LMH,SN,MWe,0,1,
Gentiana macrophylla,Qin Jiao,Perennial,0.6,5-9,,LMH,SN,M,1,3,
Macadamia tetraphylla,"Queensland Nut, Macadamia nut",Tree,10.0,9-12,S,LMH,N,M,4,0,3
Parajubaea cocoides,Quito Palm,Tree,15.0,-,M,LMH,SN,M,1,0,
Peucedanum praeruptorum,Qian Hu,Perennial,0.8,-,,LMH,SN,M,0,2,
Quercus acutissima,Sawthorn Oak,Tree,5.0,5-9,M,MH,SN,M,2,2,3
Quercus cerris,"Turkey Oak, European turkey oak",Tree,35.0,5-9,F,MH,SN,M,3,2,
Quercus fruticosa,,Shrub,2.0,7-10,,MH,N,M,3,2,2
Quercus gambelii,"Shin Oak, Gambel oak, Rocky Mountain White Oak",Shrub,4.5,4-8,S,MH,SN,DM,3,2,3
Quercus glauca,"Ring-cup oak , Ring Cupped Oak, Blue Japanese Oak",Tree,15.0,8-9,S,MH,SN,M,3,2,
Quercus insignis,Chicalaba,Tree,22.0,8-11,F,LMH,N,M,1,2,3
Quercus ithaburensis macrolepis,Valonia Oak,Tree,15.0,6-9,,MH,SN,DM,4,2,0
Quercus kelloggii,"Californian Black Oak, Black Oak",Tree,25.0,8-11,M,MH,SN,M,3,2,4
Quercus leucotrichophora,,Tree,25.0,7-10,,MH,SN,DM,2,2,
Quercus lobata,"Californian White Oak, Valley oak",Tree,30.0,7-11,S,MH,SN,M,2,2,
Quercus mongolica grosseserrata,,Tree,20.0,3-7,,MH,SN,M,2,2,
Quercus muehlenbergii,"Yellow Chestnut Oak, Chinkapin oak",Tree,20.0,4-8,M,MH,SN,M,3,2,3
Quercus nigra,Water Oak,Tree,20.0,5-9,,MH,SN,M,2,2,
Quercus petraea,"Sessile Oak, Durmast oak",Tree,40.0,5-8,S,MH,SN,MWe,2,3,
Quercus prinus,Rock Chestnut Oak,Tree,20.0,4-8,S,MH,SN,M,4,2,3
Quercus rubra,"Red Oak, Northern red oak",Tree,25.0,3-7,F,MH,SN,DM,3,2,3
Quercus semecarpifolia,,Tree,30.0,7-10,,MH,SN,M,2,2,
Quercus shumardii,"Shumard Oak, Schneck oak",Tree,30.0,4-8,M,MH,SN,M,2,2,
Quercus suber occidentalis,Cork Oak,Tree,18.0,7-10,S,MH,SN,DM,2,2,
Quercus undulata,Wavyleaf Oak,Shrub,3.0,4-8,,MH,SN,M,2,2,
Quercus variabilis,Chinese Cork Oak,Tree,30.0,4-8,,MH,SN,M,2,2,
Rhodiola rhodantha,"Queen's Crown, Redpod stonecrop",Perennial,0.4,4-8,,LMH,N,DM,1,0,
Santalum acuminatum,Quandong,Shrub,0.0,-,,LMH,SN,M,1,1,
Solanum septemlobum,Qing Qi.,Perennial,2.0,-,,LMH,SN,M,1,0,
Abies amabilis,"Red Fir,Pacific silver fir",Tree,30.0,4-8,S,LMH,FSN,M,1,2,
Acer glabrum,"Rock Maple, Rocky Mountain maple, Douglas maple, Greene's maple,  New Mexico maple, Torrey maple",Tree,9.0,3-8,S,LMH,SN,M,2,1,
Acer rubrum,"Red Maple, Drummond's maple, Swamp Maple",Tree,30.0,4-10,F,LMH,SN,M,3,1,3
Adenostoma sparsifolium,Redshank,Shrub,6.0,7-10,,LMH,N,DM,1,1,
Aesculus pavia,Red Buckeye,Shrub,5.0,5-9,F,LMH,FSN,M,2,1,
Aesculus x carnea,"Red Horse Chestnut, Ruby Red Horsechestnut",Tree,25.0,5-7,S,LMH,SN,M,2,1,
Agrimonia striata,Roadside agrimony,,0.0,0-0,,LMH,SN,M,0,2,0
Allium roseum,Rosy Garlic,Bulb,0.4,7-10,,LM,N,DM,3,2,
Allium scorodoprasum,"Rocambole,  Sand leek",Bulb,0.6,6-9,,LM,N,DM,4,2,
Allium sphaerocephalon,Round-Headed Leek,Bulb,0.6,4-8,,LM,N,DM,3,2,
Androsace sarmentosa,Rock Jasmine,Perennial,0.1,3-7,,LM,SN,DM,0,2,
Annona mucosa,Wild Sweetsop,Tree,12.0,10-12,F,LMH,N,M,5,1,2
Aquilegia coerulea,"Rocky Mountain Columbine, Colorado blue columbine, Dailey's columbine, White Colorado columbine",Perennial,0.6,3-7,,LM,SN,M,2,1,
Arabis lyrata,"Rock Cress, Kamchatka rockcress, Lyrate rockcress",Biennial/Perennial,0.3,4-8,,LMH,SN,DM,1,0,
Arnica diversifolia,Rayless arnica,Perennial,0.3,0-0,,LMH,SN,M,0,1,
Artemisia sacrorum,Russian Wormwood,Perennial,1.0,3-7,,LMH,N,DM,1,0,
Artemisia vestita,Russian Wormwood,Perennial,1.2,3-7,,LMH,N,DM,0,1,
Arthropodium cirrhatum,Rock-lily,Perennial,1.0,7-10,,LM,N,M,1,0,
Asclepias rubra,Red Silkweed,Perennial,1.2,4-8,,LM,SN,DM,3,1,
Asclepias subulata,Rush Milkweed,Perennial,2.0,5-9,,L,SN,DM,0,1,0
Aspalathus linearis,Rooibos,Shrub,2.0,8-11,,LM,N,DM,3,3,0
Avena byzantina,Red Oat,Annual,0.0,-,,LMH,N,DM,2,0,
Bambusa oldhamii,"Ryoku-Chiku, Giant Timber Bamboo, Oldham's Bamboo",Bamboo,6.0,9-12,,LMH,SN,M,2,0,3
Berchemia lineata,,Climber,4.0,7-10,,LM,SN,M,2,1,
Boehmeria nipononivea,Ramie,Perennial,1.5,-,,LM,SN,M,1,1,
Boenninghausenia albiflora,,Shrub,1.0,7-10,,LM,N,M,0,2,
Botrychium virginianum,Rattlesnake Fern,Fern,0.4,-,,LM,SN,M,1,2,
Brassica juncea napiformis,Root Mustard,Annual,0.8,6-9,,LMH,SN,M,4,2,
Brassica napus napus,Rape,Annual/Biennial,1.2,6-9,,LMH,SN,M,3,2,
Brassica napus pabularia,Rape Kale,Annual/Biennial,1.2,6-9,,LMH,SN,M,3,2,
Callitris endlicheri,Red Cypress-Pine,Tree,20.0,8-11,,LM,N,DM,0,1,
Campanula rapunculus,Rampion,Biennial,0.9,4-8,,LM,SN,M,4,0,
Caragana jubata,Shag-Spine,Shrub,1.0,3-7,,LM,N,DM,0,1,
Cardamine debilis,Roadside bittercress,Perennial,0.3,0-0,,LMH,SN,M,2,0,
Casuarina cunninghamiana,River She-Oak,Tree,18.0,8-11,,LMH,N,DM,0,0,5
Centranthus ruber,"Red Valerian, Fox's Brush, Jupiter's Beard",Perennial,0.9,5-8,M,LMH,N,DM,2,1,1
Cercis canadensis,"Redbud, Eastern redbud, Mexican redbud,Texas redbud",Tree,12.0,4-9,M,LM,SN,M,3,2,2
Chenopodium rubrum,Red Goosefoot,Annual,0.6,-,,LMH,N,M,2,0,
Chrysothamnus nauseosus,Rubber Rabbitbrush,Shrub,2.0,-,,LM,N,DM,1,2,
Cistus albidus,Rock Rose,Shrub,1.0,6-9,F,LM,N,DM,1,0,
Cistus salviifolius,"Rock Rose, Salvia cistus, Sage Leaf Rock Rose",Shrub,0.6,8-11,F,LM,N,DM,1,0,
Clematis columbiana,Rock Clematis,Climber,3.0,4-8,,LMH,SN,M,0,1,
Coprosma hirtella,Rough Coprosma,Shrub,2.0,8-11,,LM,SN,M,1,0,1
Coriaria myrtifolia,Redoul,Shrub,1.8,7-10,,LMH,SN,M,0,0,
Cotinus coggygria,"Smoke Tree, European smoketree, Venetian Sumac, Wig Tree, Smoke Tree",Shrub,5.0,5-8,M,LMH,SN,DM,1,1,
Crataegus lobulata,Red Haw,Tree,9.0,-,,LMH,SN,MWe,2,2,
Crataegus reverchonii,Reverchon's Hawthorn,Shrub,3.0,0-0,,LMH,SN,MWe,2,2,
Crataegus rivularis,River Hawthorn,Tree,4.0,4-8,,LMH,SN,MWe,2,2,
Dacrydium cupressinum,"Rimu, New zealand red pine",Tree,30.0,8-11,S,LM,S,M,2,0,
Daucus pusillus,"Rattlesnake Weed, American wild carrot",Biennial,0.6,4-8,,LMH,N,M,2,2,
Delphinium nudicaule,"Red Larkspur, Larkspur",Perennial,0.3,3-7,M,LMH,N,M,0,1,
Dioscoreophyllum cumminsii,"Serendipity Berry, Guinea potato",Climber,1.8,10-12,M,LMH,FS,M,4,0,0
Empetrum eamesii,"Rockberry, Purple crowberry",Shrub,0.2,3-8,,LM,SN,M,2,0,
Enchylaena tomentosa,Ruby Saltbush,Shrub,1.0,8-11,,LM,N,DM,2,1,
Eriogonum atrorubens,"Red Wild Buckwheat, Red buckwheat",Perennial,1.0,0-0,,LM,N,DM,1,0,
Eucalyptus macrorhyncha,Red Stringybark,Tree,45.0,9-11,F,LMH,N,DMWe,1,3,
Eucalyptus sideroxylon,"Red Ironbark, Eucalyptus, Gum, Pink Ironbark",Tree,30.0,10-11,F,LMH,N,DMWe,0,0,
Fragaria ovalis,Rocky Mountain Strawberry,Perennial,0.2,-,,LMH,SN,M,3,0,
Geranium rotundifolium,Roundleaf geranium,Annual,0.4,6-9,,LMH,N,M,0,1,
Grindelia lanceolata,"Rosin Weed,  Narrowleaf gumweed, Texan gumweed",Biennial/Perennial,1.5,4-8,,LM,N,DM,1,3,
Grindelia squarrosa,"Rosin Weed, Curlycup gumweed",Biennial/Perennial,1.0,3-7,,LM,N,DM,2,3,0
Helenium puberulum,Rosilla,Annual/Perennial,1.5,7-10,,LMH,N,M,1,1,
Herniaria glabra,"Rupture Wort, Smooth rupturewort",Biennial/Perennial,0.0,4-8,,LM,N,DM,0,2,
Heuchera americana,"Rock Geranium, American alumroot, Alumroot, Coral Bells, Rock Geranium",Perennial,0.5,4-9,M,LM,SN,M,0,3,2
Hibiscus sabdariffa,Roselle,Annual/Perennial,3.0,9-12,,LMH,N,M,3,3,2
Hibiscus sinosyriacus,Rose Of Sharon,Shrub,3.0,6-9,M,LMH,SN,M,4,2,3
Hieracium venosum,Rattlesnake Weed,Perennial,0.3,3-7,,LMH,SN,M,0,1,
Hypericum calycinum,"Rose Of Sharon, Aaron's beard, Creeping Aron's Beard St. Johnswort",Shrub,0.3,5-10,F,LMH,FSN,DM,0,0,
Iberis amara,"Rocket Candytuft, Annual candytuft",Annual,0.3,6-9,F,LMH,N,DM,1,2,
Impatiens balsamina,"Rose Balsam, Spotted snapweed, Touch-Me-Not, Garden Balsam",Annual,0.6,0-0,M,LMH,SN,M,2,2,
Iris missouriensis,Rocky Mountain Iris,Perennial,0.8,0-0,,LM,SN,MWe,1,2,0
Iris tectorum,"Roof Iris, Wall iris, Japanese Roof, White Root Iris",Perennial,0.3,5-9,M,LM,SN,DM,1,0,
Knightia excelsa,Rewarewa,Tree,20.0,8-11,,LMH,SN,M,1,0,
Lamium purpureum,"Red Dead Nettle, Purple deadnettle",Annual,0.3,4-8,,LMH,SN,M,2,1,0
Leontice leontopetalum,Rakaf,Perennial,0.5,5-9,,LMH,N,DM,1,1,
Leontodon hispidus,"Rough Hawkbit, Bristly hawkbit",Perennial,0.5,5-9,,LMH,N,M,2,1,
Lespedeza capitata,Roundhead Lespedeza,Shrub,1.0,4-8,,LM,N,M,1,2,3
Lycoris squamigera,"Resurrection Lily, Hardy Amaryllis, Magic Lily, Autumn Lycoris, Naked Lady",Bulb,0.7,6-10,S,LM,N,M,2,0,
Mangifera rubropetala,Red petaled mango,Tree,16.0,10-12,M,LMH,N,M,4,0,0
Marsdenia tenacissima,Rajmahal Hemp,Climber,10.0,10-12,,LMH,SN,M,0,0,4
Marsippospermum grandiflorum,,Perennial,0.3,-,,LM,SN,MWe,0,0,
Melaleuca bracteata,River teatree,Shrub,6.0,0-0,,LMH,N,M,0,2,
